symbol,legal_name,cik,figi,exchange_mic,security_type,share_class,currency,domicile,sic,source_classification,mapped_sector,primary_liquid_class
GE,GENERAL ELECTRIC CO,0000040545,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
GEHC,GE HealthCare Technologies Inc.,0001932393,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
GEN,Gen Digital Inc.,0000849399,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
GEV,GE Vernova Inc.,0001996810,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
GILD,"GILEAD SCIENCES, INC.",0000882095,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
GIS,GENERAL MILLS INC,0000040704,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
GL,GLOBE LIFE INC.,0000320335,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
GLW,CORNING INC /NY,0000024741,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
GM,General Motors Co,0001467858,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
GNRC,GENERAC HOLDINGS INC.,0001474735,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
GOOG,Alphabet Inc.,0001652044,,XNAS,COMMON_STOCK,CLASS_C,USD,,,Communication Services,,false
GOOGL,Alphabet Inc.,0001652044,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Communication Services,,true
GPC,GENUINE PARTS CO,0000040987,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
GPN,GLOBAL PAYMENTS INC,0001123360,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
GRMN,GARMIN LTD,0001121788,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
GS,GOLDMAN SACHS GROUP INC,0000886982,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
GWW,"W.W. GRAINGER, INC.",0000277135,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
HAL,HALLIBURTON CO,0000045012,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
HAS,"HASBRO, INC.",0000046080,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
